source_set,card_file,def_id,current_name,display_name,cost,base_power,tribes,frame,rules_text,flavor_text,ability_triggers,ability_kinds,complexity_flags,proposed_name,proposed_type,status,role,theme_fit_1_5,clarity_1_5,fun_1_5,uniqueness_1_5,priority,problem,suggested_fix,notes
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/redline-bruiser/card.json,redline-bruiser,Redline Bruiser,REDLINE BRUISER,3,3,Merc; Bio,rare,Ongoing: +1 Power for each of your destroyed cards.,Every fall feeds the fury.,ongoing,ALL_CARDS; COUNT; POWER_ADD; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/reflex-booster/card.json,reflex-booster,Reflex Booster,REFLEX BOOSTER,2,1,Bio; Tech,common,On Reveal: Give a random friendly card here +3 Power.,One implant changes everything.,onReveal,ADD_POWER; LIT; RANDOM_N; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/replication-node/card.json,replication-node,Replication Node,REPLICATION NODE,4,3,AI; Tech,common,On Reveal: Add a 1-Power Drone here.,One becomes two. Two becomes enough.,onReveal,CREATE_CARD_IN_ZONE; DEF_ID_LIST; LANE; LANE_OF; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/rooftop-runner/card.json,rooftop-runner,Rooftop Runner,ROOFTOP RUNNER,3,3,Merc; Bio,rare,When Moved: Gain +3 Power.,The run is the reward.,onMove,ADD_POWER; LIT; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/rootkit-kid/card.json,rootkit-kid,Rootkit Kid,ROOTKIT KID,2,1,Hacker,common,On Reveal: Enemy created cards here have -2 Power.,Borrowed things break easiest.,onReveal,ADD_POWER; FOREACH; LIT; SAME_LANE; SELF; WAS_CREATED; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/rust-revenant/card.json,rust-revenant,Rust Revenant,RUST REVENANT,4,6,Bio,rare,Ongoing: Costs 1 less for each of your destroyed cards.,Each grave digs the next.,ongoing,ALL_CARDS; COST_ADD; COUNT; LIT; MUL; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/scrap-rat/card.json,scrap-rat,Scrap Rat,SCRAP RAT,1,1,Merc,common,When Destroyed: Give a random friendly card here +2 Power.,Salvage is the only economy worth trusting.,onDestroyed,ADD_POWER; LIT; RANDOM_N; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/scrapyard-king/card.json,scrapyard-king,Scrapyard King,SCRAPYARD KING,6,8,Merc,legendary,On Reveal: +1 Power for each card destroyed this game.,Every death adds to the throne.,onReveal,ADD_POWER; SELF; TRACKED_STAT,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/severance-clone/card.json,severance-clone,Severance Clone,SEVERANCE CLONE,2,1,Corp; Bio,rare,When Destroyed: Give the card that destroyed this +2 Power.,The kill is its own reward.,onDestroyed,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/signal-booster/card.json,signal-booster,Signal Booster,SIGNAL BOOSTER,2,1,AI; Tech,common,Ongoing: Your other cards here have +1 Power.,Amplification is a form of loyalty.,ongoing,LIT; POWER_ADD; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/signal-jammer/card.json,signal-jammer,Signal Jammer,SIGNAL JAMMER,2,2,Hacker; Tech,rare,Ongoing: Enemy On Reveal abilities do not trigger here.,Nothing gets in. Nothing gets out.,ongoing,DISABLE_ON_REVEAL; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/signal-rally/card.json,signal-rally,Signal Rally,SIGNAL RALLY,3,3,AI,rare,Ongoing: Your 1-Cost cards have +1 Power.,The cheap parts fight hardest.,ongoing,ALL_CARDS; COST_CMP; LIT; POWER_ADD; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/silent-engine/card.json,silent-engine,Silent Engine,SILENT ENGINE,4,5,AI; Tech,epic,"End of Turn: If you have unspent Energy, give your Ongoing cards +1 Power.",Restraint is the best amplifier.,onEndOfTurn,ADD_POWER; ALL_CARDS; CONDITIONAL; FOREACH; HAS_ONGOING; HAS_UNSPENT_ENERGY; LIT; SELF; WHERE,many_effect_kinds; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/smart-matter-armor/card.json,smart-matter-armor,Smart Matter Armor,SMART MATTER ARMOR,4,5,Tech; Bio,rare,Ongoing: Cards here with increased Power have +2 Power.,The upgrade recognizes the upgrade.,ongoing,LIT; POWER_ADD; POWER_INCREASED; SAME_LANE; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/stored-charge/card.json,stored-charge,Stored Charge,STORED CHARGE,3,3,Tech,common,Ongoing: Costs 1 less if you ended last turn with unspent Energy.,The patient hand gets the discount.,ongoing,COST_ADD; IF_ELSE; LIT; SELF; TRACKED_FLAG,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/street-fixer/card.json,street-fixer,Street Fixer,STREET FIXER,2,2,Merc,common,On Reveal: Draw a Tech card.,Knows where to find the right tool.,onReveal,CREATE_CARD_IN_ZONE; DECK_BY_TRIBE; HAND,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/street-kid/card.json,street-kid,Street Kid,STREET KID,1,2,Merc,common,,"Everywhere, all at once.",,,missing_rules_text; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/street-samurai/card.json,street-samurai,Street Samurai,STREET SAMURAI,2,4,Merc,common,,Code and steel. In that order.,,,missing_rules_text; missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/system-crash/card.json,system-crash,System Crash,SYSTEM CRASH,4,3,Hacker; Tech,rare,On Reveal: Reset a random enemy card here to its base Power.,The numbers go back to zero.,onReveal,LIT; RANDOM_N; RESET_POWER; SAME_LANE; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/talent-scout/card.json,talent-scout,Talent Scout,TALENT SCOUT,4,5,Corp; Merc,rare,On Reveal: Draw your lowest-Cost card from your deck.,Identifies what you need before you do.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/tech-fixer/card.json,tech-fixer,Tech Fixer,TECH FIXER,3,3,Merc; Hacker,common,On Reveal: Draw an AI card.,Every system has a back door.,onReveal,CREATE_CARD_IN_ZONE; DECK_BY_TRIBE; HAND,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/trace-hacker/card.json,trace-hacker,Trace Hacker,TRACE HACKER,3,4,Hacker,rare,On Reveal: Move a random enemy card here to another location.,You were never supposed to be there.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/traffic-spoofer/card.json,traffic-spoofer,Traffic Spoofer,TRAFFIC SPOOFER,4,5,Hacker; Tech,rare,On Reveal: Move the lowest-Power enemy card here to another location.,Re-routes the threat before it arrives.,onReveal,CALL_BUILTIN,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/union-rep/card.json,union-rep,Union Rep,UNION REP,2,2,Corp; Merc,rare,Ongoing: Your cards here cannot be destroyed by your own cards.,Your own cards can't touch them while she's watching.,ongoing,BLOCK_FRIENDLY_DESTROY; SELF,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/wetware-saint/card.json,wetware-saint,Wetware Saint,WETWARE SAINT,4,5,Bio; AI,rare,Ongoing: Your cards here with increased Power have +1 Power.,She blesses what is already enhanced.,ongoing,LIT; POWER_ADD; POWER_INCREASED; SAME_LANE; SELF; WHERE,missing_portrait,,,,,,,,,,,,
core-v1,services/playgame/engine/manifest/card-sets/core-v1/cards/white-hat-auditor/card.json,white-hat-auditor,White-Hat Auditor,WHITE-HAT AUDITOR,3,3,Hacker; Corp,rare,On Reveal: Enemy created cards here lose their text.,Unauthorised assets get flagged and stripped.,onReveal,FOREACH; REMOVE_TEXT; SAME_LANE; SELF; WAS_CREATED; WHERE,missing_portrait,,,,,,,,,,,,
